Image,Type,Matrix_Row,param_1,param_2,param_3
personal-1,Affine,Forward_row_1,1.0,0.2,10.0
personal-1,Affine,Forward_row_2,-0.1333333333333334,1.2,16.66666666666668
personal-1,Affine,Inverse_row_1,0.9782608695652174,-0.1630434782608696,-7.065217391304346
personal-1,Affine,Inverse_row_2,0.1086956521739131,0.8152173913043479,-14.673913043478272
personal-1,Perspective,Forward_row_1,0.5193679106722585,-0.13878918401531468,50.0
personal-1,Perspective,Forward_row_2,-0.06423528162658597,0.3110792055515673,50.0
personal-1,Perspective,Forward_row_3,8.847834934791454e-05,-0.00127622238175002,1.0
personal-1,Perspective,Inverse_row_1,1.9951631125547238,0.3990326225109447,-119.70978675328344
personal-1,Perspective,Inverse_row_2,0.3654036723987175,2.7405275429903817,-155.29656076945497
personal-1,Perspective,Inverse_row_3,0.00028980760621020606,0.0034622168403909783,0.8123987776699408
personal-2,Affine,Forward_row_1,1.0,0.2,10.0
personal-2,Affine,Forward_row_2,-0.1333333333333334,1.2,16.66666666666668
personal-2,Affine,Inverse_row_1,0.9782608695652174,-0.1630434782608696,-7.065217391304346
personal-2,Affine,Inverse_row_2,0.1086956521739131,0.8152173913043479,-14.673913043478272
personal-2,Perspective,Forward_row_1,0.5193679106722585,-0.13878918401531468,50.0
personal-2,Perspective,Forward_row_2,-0.06423528162658597,0.3110792055515673,50.0
personal-2,Perspective,Forward_row_3,8.847834934791454e-05,-0.00127622238175002,1.0
personal-2,Perspective,Inverse_row_1,1.9951631125547238,0.3990326225109447,-119.70978675328344
personal-2,Perspective,Inverse_row_2,0.3654036723987175,2.7405275429903817,-155.29656076945497
personal-2,Perspective,Inverse_row_3,0.00028980760621020606,0.0034622168403909783,0.8123987776699408
